depth	ratio(N/Ti)
1.22e-07	0.957047
1.222e-07	0.957046
1.224e-07	0.957046
1.226e-07	0.957046
1.228e-07	0.957045
1.23e-07	0.957045
1.232e-07	0.957044
1.234e-07	0.957044
1.236e-07	0.957043
1.238e-07	0.957043
1.24e-07	0.957043
1.242e-07	0.957042
1.244e-07	0.957042
1.246e-07	0.957041
1.248e-07	0.957041
1.25e-07	0.95704
1.252e-07	0.95704
1.254e-07	0.95704
1.256e-07	0.957039
1.258e-07	0.957039
1.26e-07	0.957038
1.262e-07	0.957038
1.264e-07	0.957037
1.266e-07	0.957037
1.268e-07	0.957037
1.27e-07	0.957036
1.272e-07	0.957036
1.274e-07	0.957035
1.276e-07	0.957035
1.278e-07	0.957034
1.28e-07	0.957034
1.282e-07	0.957034
1.284e-07	0.957033
1.286e-07	0.957033
1.288e-07	0.957032
1.29e-07	0.957032
1.292e-07	0.957031
1.294e-07	0.957031
1.296e-07	0.95703
1.298e-07	0.95703
1.3e-07	0.95703
1.302e-07	0.957029
1.304e-07	0.957029
1.306e-07	0.957028
1.308e-07	0.957028
1.31e-07	0.957027
1.312e-07	0.957027
1.314e-07	0.957026
1.316e-07	0.957026
1.318e-07	0.957026
1.32e-07	0.957025
1.322e-07	0.957025
1.324e-07	0.957024
1.326e-07	0.957024
1.328e-07	0.957023
1.33e-07	0.957023
1.332e-07	0.957022
1.334e-07	0.957022
1.336e-07	0.957022
1.338e-07	0.957021
1.34e-07	0.957021
1.342e-07	0.95702
1.344e-07	0.95702
1.346e-07	0.957019
1.348e-07	0.957019
1.35e-07	0.957018
1.352e-07	0.957018
1.354e-07	0.957017
1.356e-07	0.957017
1.358e-07	0.957017
1.36e-07	0.957016
1.362e-07	0.957016
1.364e-07	0.957015
1.366e-07	0.957015
1.368e-07	0.957014
1.37e-07	0.957014
1.372e-07	0.957013
1.374e-07	0.957013
1.376e-07	0.957012
1.378e-07	0.957012
1.38e-07	0.957012
1.382e-07	0.957011
1.384e-07	0.957011
1.386e-07	0.95701
1.388e-07	0.95701
1.39e-07	0.957009
1.392e-07	0.957009
1.394e-07	0.957008
1.396e-07	0.957008
1.398e-07	0.957007
1.4e-07	0.957007
1.402e-07	0.957006
1.404e-07	0.957006
1.406e-07	0.957005
1.408e-07	0.957005
1.41e-07	0.957005
1.412e-07	0.957004
1.414e-07	0.957004
1.416e-07	0.957003
1.418e-07	0.957003
1.42e-07	0.957002
1.422e-07	0.957002
1.424e-07	0.957001
1.426e-07	0.957001
1.428e-07	0.957
1.43e-07	0.957
1.432e-07	0.956999
1.434e-07	0.956999
1.436e-07	0.956998
1.438e-07	0.956998
1.44e-07	0.956997
1.442e-07	0.956997
1.444e-07	0.956996
1.446e-07	0.956996
1.448e-07	0.956996
1.45e-07	0.956995
1.452e-07	0.956995
1.454e-07	0.956994
1.456e-07	0.956994
1.458e-07	0.956993
1.46e-07	0.956993
1.462e-07	0.956992
1.464e-07	0.956992
1.466e-07	0.956991
1.468e-07	0.956991
1.47e-07	0.95699
1.472e-07	0.95699
1.474e-07	0.956989
1.476e-07	0.956989
1.478e-07	0.956988
1.48e-07	0.956988
1.482e-07	0.956987
1.484e-07	0.956987
1.486e-07	0.956986
1.488e-07	0.956986
1.49e-07	0.956985
1.492e-07	0.956985
1.494e-07	0.956984
1.496e-07	0.956984
1.498e-07	0.956983
1.5e-07	0.956983
1.502e-07	0.956982
1.504e-07	0.956982
1.506e-07	0.956981
1.508e-07	0.956981
1.51e-07	0.95698
1.512e-07	0.95698
1.514e-07	0.956979
1.516e-07	0.956979
1.518e-07	0.956978
1.52e-07	0.956978
1.522e-07	0.956977
1.524e-07	0.956977
1.526e-07	0.956976
1.528e-07	0.956976
1.53e-07	0.956975
1.532e-07	0.956975
1.534e-07	0.956974
1.536e-07	0.956974
1.538e-07	0.956973
1.54e-07	0.956973
1.542e-07	0.956972
1.544e-07	0.956972
1.546e-07	0.956971
1.548e-07	0.956971
1.55e-07	0.95697
1.552e-07	0.95697
1.554e-07	0.956969
1.556e-07	0.956969
1.558e-07	0.956968
1.56e-07	0.956968
1.562e-07	0.956967
1.564e-07	0.956967
1.566e-07	0.956966
1.568e-07	0.956966
1.57e-07	0.956965
1.572e-07	0.956965
1.574e-07	0.956964
1.576e-07	0.956964
1.578e-07	0.956963
1.58e-07	0.956963
1.582e-07	0.956962
1.584e-07	0.956962
1.586e-07	0.956961
1.588e-07	0.956961
1.59e-07	0.95696
1.592e-07	0.95696
1.594e-07	0.956959
1.596e-07	0.956959
1.598e-07	0.956958
1.6e-07	0.956958
1.602e-07	0.956957
1.604e-07	0.956957
1.606e-07	0.956956
1.608e-07	0.956955
1.61e-07	0.956955
1.612e-07	0.956954
1.614e-07	0.956954
1.616e-07	0.956953
1.618e-07	0.956953
1.62e-07	0.956952
1.622e-07	0.956952
1.624e-07	0.956951
1.626e-07	0.956951
1.628e-07	0.95695
1.63e-07	0.95695
1.632e-07	0.956949
1.634e-07	0.956949
1.636e-07	0.956948
1.638e-07	0.956948
1.64e-07	0.956947
1.642e-07	0.956947
1.644e-07	0.956946
1.646e-07	0.956945
1.648e-07	0.956945
1.65e-07	0.956944
1.652e-07	0.956944
1.654e-07	0.956943
1.656e-07	0.956943
1.658e-07	0.956942
1.66e-07	0.956942
1.662e-07	0.956941
1.664e-07	0.956941
1.666e-07	0.95694
1.668e-07	0.95694
1.67e-07	0.956939
1.672e-07	0.956938
1.674e-07	0.956938
1.676e-07	0.956937
1.678e-07	0.956937
1.68e-07	0.956936
1.682e-07	0.956936
1.684e-07	0.956935
1.686e-07	0.956935
1.688e-07	0.956934
1.69e-07	0.956934
1.692e-07	0.956933
1.694e-07	0.956932
1.696e-07	0.956932
1.698e-07	0.956931
1.7e-07	0.956931
1.702e-07	0.95693
1.704e-07	0.95693
1.706e-07	0.956929
1.708e-07	0.956929
1.71e-07	0.956928
1.712e-07	0.956927
1.714e-07	0.956927
1.716e-07	0.956926
1.718e-07	0.956926
1.72e-07	0.956925
1.722e-07	0.956925
1.724e-07	0.956924
1.726e-07	0.956924
1.728e-07	0.956923
1.73e-07	0.956922
1.732e-07	0.956922
1.734e-07	0.956921
1.736e-07	0.956921
1.738e-07	0.95692
1.74e-07	0.95692
1.742e-07	0.956919
1.744e-07	0.956919
1.746e-07	0.956918
1.748e-07	0.956917
1.75e-07	0.956917
1.752e-07	0.956916
1.754e-07	0.956916
1.756e-07	0.956915
1.758e-07	0.956915
1.76e-07	0.956914
1.762e-07	0.956913
1.764e-07	0.956913
1.766e-07	0.956912
1.768e-07	0.956912
1.77e-07	0.956911
1.772e-07	0.956911
1.774e-07	0.95691
1.776e-07	0.956909
1.778e-07	0.956909
1.78e-07	0.956908
1.782e-07	0.956908
1.784e-07	0.956907
1.786e-07	0.956907
1.788e-07	0.956906
1.79e-07	0.956905
1.792e-07	0.956905
1.794e-07	0.956904
1.796e-07	0.956904
1.798e-07	0.956903
1.8e-07	0.956903
1.802e-07	0.956902
1.804e-07	0.956901
1.806e-07	0.956901
1.808e-07	0.9569
1.81e-07	0.9569
1.812e-07	0.956899
1.814e-07	0.956898
1.816e-07	0.956898
1.818e-07	0.956897
1.82e-07	0.956897
1.822e-07	0.956896
1.824e-07	0.956895
1.826e-07	0.956895
1.828e-07	0.956894
1.83e-07	0.956894
1.832e-07	0.956893
1.834e-07	0.956893
1.836e-07	0.956892
1.838e-07	0.956891
1.84e-07	0.956891
1.842e-07	0.95689
1.844e-07	0.95689
1.846e-07	0.956889
1.848e-07	0.956888
